departure location: 39-715 or 734-949
departure station: 30-152 or 160-959
departure platform: 34-780 or 798-955
departure track: 32-674 or 699-952
departure date: 38-55 or 74-952
departure time: 45-533 or 547-970
arrival location: 27-168 or 191-969
arrival station: 43-585 or 599-953
arrival platform: 40-831 or 837-961
arrival track: 37-293 or 301-974
class: 40-89 or 112-950
duration: 25-600 or 625-970
price: 45-318 or 341-954
route: 40-898 or 912-968
row: 38-872 or 881-958
seat: 37-821 or 831-958
train: 26-343 or 365-956
type: 37-857 or 872-960
wagon: 36-425 or 445-972
zone: 44-270 or 286-967

your ticket:
223,139,211,131,113,197,151,193,127,53,89,167,227,79,163,199,191,83,137,149

nearby tickets:
649,669,116,341,816,410,776,496,725,647,853,163,397,449,557,554,492,523,384,526
818,472,885,771,224,139,250,511,670,784,940,142,584,891,646,889,651,311,83,747
374,576,228,459,86,901,648,497,486,509,496,500,270,524,668,399,702,114,370,455
706,50,769,854,498,477,651,265,890,256,160,279,777,518,463,776,872,737,312,809
184,706,920,238,55,625,55,215,752,584,398,379,767,762,197,890,526,700,576,490
495,392,211,801,137,753,658,575,663,281,112,126,599,661,222,710,667,566,942,51
86,551,296,745,653,846,478,572,388,671,517,770,660,521,642,289,120,837,406,925
122,240,150,521,218,614,409,672,210,372,473,216,565,468,160,669,140,848,134,470
215,915,217,85,407,497,815,367,798,949,527,167,712,824,250,768,819,460,703,641
491,842,666,315,919,499,479,503,820,464,856,244,916,996,408,929,770,948,146,88
914,420,726,890,454,699,293,258,420,516,525,817,839,391,818,492,222,139,449,801
574,282,223,668,509,943,499,164,948,525,508,643,365,229,445,389,450,563,760,421
160,762,588,756,811,522,842,924,668,405,750,380,701,209,205,375,265,756,574,267
805,669,629,244,938,597,884,456,302,260,851,218,634,575,919,758,304,804,937,579
654,502,663,535,138,582,734,946,779,85,815,670,516,734,149,490,306,86,740,161
777,201,249,470,947,69,941,245,805,380,570,128,549,449,926,933,378,249,674,269
267,390,452,205,231,454,490,269,906,232,415,223,121,653,840,193,488,942,577,238
652,454,487,141,138,251,705,371,926,936,265,526,701,572,630,664,302,602,467,626
743,656,219,566,667,183,420,246,421,513,559,76,120,674,767,816,949,661,736,811
235,126,416,259,507,51,655,234,882,806,483,762,478,609,894,701,392,668,919,407
656,89,773,763,754,529,665,654,924,209,568,229,893,896,225,666,714,258,902,468
779,415,372,248,719,501,531,564,577,386,288,224,654,286,661,401,912,581,759,117
752,86,243,469,82,315,857,883,818,599,888,937,231,413,733,571,799,666,140,498
85,767,147,933,649,653,143,777,80,214,713,577,995,266,410,377,195,54,756,380
66,489,479,301,582,883,815,658,81,654,745,779,738,848,123,54,780,772,660,379
820,167,244,857,203,250,198,461,818,936,23,120,578,136,80,379,775,666,627,311
